time = 236672542, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   216
time = 237753362, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   217
time = 238834182, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   218
time = 239915002, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   219
time = 240995822, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   220
time = 242076642, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   221
time = 243157462, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   222
time = 244238282, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   223
time = 245319102, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   224
time = 246399922, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   225
time = 247480742, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   226
time = 248561562, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   227
time = 249642382, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   228
time = 250723202, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   229
time = 251804022, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   230
time = 252884842, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   231
time = 253965662, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   232
time = 255046482, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   233
time = 256127302, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   234
time = 257208122, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   235
time = 258288942, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   236
time = 259369762, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   237
time = 260450582, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   238
time = 261531402, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   239
time = 262612222, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   240
time = 263693042, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   241
time = 264773862, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   242
time = 265854682, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   243
time = 266935502, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   244
time = 268016322, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   245
time = 269097142, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   246
time = 270177962, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   247
time = 271258782, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   248
time = 272339602, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   249
time = 273420422, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   250
time = 274501242, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   251
time = 275582062, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   252
time = 276662882, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   253
time = 277743702, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   254
time = 278824522, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   255
time = 279905342, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   256
time = 280986162, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   257
time = 282066982, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   258
time = 283147802, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   259
time = 284228622, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   260
time = 285309442, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   261
time = 286390262, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   262
time = 287471082, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   263
time = 288551902, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   264
time = 289632722, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   265
time = 290713542, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   266
time = 291794362, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   267
time = 292875182, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   268
time = 293956002, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   269
time = 295036822, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   270
time = 296117642, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   271
time = 297198462, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   272
time = 298279282, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   273
time = 299360102, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   274
time = 300440922, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   275
time = 301521742, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   276
