time = 177541462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   237
time = 178149962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   238
time = 178758462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   239
time = 179366962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   240
time = 179975462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   241
time = 180583962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   242
time = 181192462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   243
time = 181800962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   244
time = 182409462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   245
time = 183017962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   246
time = 183626462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   247
time = 184234962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   248
time = 184843462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   249
time = 185451962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   250
time = 186060462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   251
time = 186668962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   252
time = 187277462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   253
time = 187885962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   254
time = 188494462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   255
time = 189102962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   256
time = 189711462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   257
time = 190319962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   258
time = 190928462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   259
time = 191536962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   260
time = 192145462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   261
time = 192753962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   262
time = 193362462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   263
time = 193970962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   264
time = 194579462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   265
time = 195187962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   266
time = 195796462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   267
time = 196404962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   268
time = 197013462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   269
time = 197621962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   270
time = 198230462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   271
time = 198838962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   272
time = 199447462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   273
time = 200055962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   274
time = 200664462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   275
time = 201272962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   276
time = 201881462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   277
time = 202489962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   278
time = 203098462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   279
time = 203706962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   280
time = 204315462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   281
time = 204923962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   282
time = 205532462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   283
time = 206140962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   284
time = 206749462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   285
time = 207357962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   286
time = 207966462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   287
time = 208574962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   288
time = 209183462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   289
time = 209791962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   290
time = 210400462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   291
time = 211008962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   292
time = 211617462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   293
time = 212225962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   294
time = 212834462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   295
time = 213442962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   296
time = 214051462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   297
time = 214659962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   298
time = 215268462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   299
time = 215876962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   300
time = 216485462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   301
time = 217093962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   302
time = 217702462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   303
time = 218310962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   304
time = 218919462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   305
time = 219527962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   306
time = 220136462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   307
time = 220744962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   308
time = 221353462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   309
time = 221961962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   310
time = 222570462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   311
time = 223178962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   312
time = 223787462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   313
time = 224395962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   314
time = 225004462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   315
time = 225612962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   316
time = 226221462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   317
time = 226829962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   318
time = 227438462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   319
time = 228046962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   320
time = 228655462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   321
time = 229263962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   322
time = 229872462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   323
time = 230480962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   324
time = 231089462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   325
