time = 96895382, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   313
time = 97098582, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   314
time = 97301782, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   315
time = 97504982, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   316
time = 97708182, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   317
time = 97911382, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   318
time = 98114582, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   319
time = 98317782, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   320
time = 98520982, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   321
time = 98724182, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   322
time = 98927382, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   323
time = 99130582, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   324
time = 99333782, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   325
time = 99536982, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   326
time = 99740182, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   327
time = 99943382, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   328
time = 100146582, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   329
time = 100349782, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   330
time = 100552982, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   331
time = 100756182, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   332
time = 100959382, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   333
time = 101162582, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   334
time = 101365782, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   335
time = 101568982, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   336
time = 101772182, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   337
time = 101975382, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   338
time = 102178582, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   339
time = 102381782, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   340
time = 102584982, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   341
time = 102788182, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   342
time = 102991382, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   343
time = 103194582, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   344
time = 103397782, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   345
time = 103600982, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   346
time = 103804182, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   347
time = 104007382, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   348
time = 104210582, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   349
time = 104413782, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   350
time = 104616982, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   351
time = 104820182, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   352
time = 105023382, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   353
time = 105226582, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   354
time = 105429782, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   355
time = 105632982, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   356
time = 105836182, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   357
time = 106039382, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   358
time = 106242582, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   359
time = 106445782, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   360
time = 106648982, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   361
time = 106852182, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   362
time = 107055382, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   363
time = 107258582, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   364
time = 107461782, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   365
time = 107664982, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   366
time = 107868182, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   367
time = 108071382, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   368
