time = 399926822, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   302
time = 401140582, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   303
time = 402354342, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   304
time = 403568102, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   305
time = 404781862, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   306
time = 405995622, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   307
time = 407209382, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   308
time = 408423142, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   309
time = 409636902, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   310
time = 410850662, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   311
time = 412064422, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   312
time = 413278182, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   313
time = 414491942, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   314
time = 415705702, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   315
time = 416919462, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   316
time = 418133222, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   317
time = 419346982, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   318
time = 420560742, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   319
time = 421774502, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   320
time = 422988262, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   321
time = 424202022, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   322
time = 425415782, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   323
time = 426629542, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   324
time = 427843302, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   325
time = 429057062, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   326
time = 430270822, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   327
time = 431484582, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   328
time = 432698342, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   329
time = 433912102, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   330
time = 435125862, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   331
time = 436339622, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   332
time = 437553382, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   333
time = 438767142, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   334
time = 439980902, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   335
time = 441194662, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   336
time = 442408422, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   337
time = 443622182, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   338
time = 444835942, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   339
time = 446049702, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   340
time = 447263462, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   341
time = 448477222, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   342
time = 449690982, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   343
time = 450904742, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   344
time = 452118502, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   345
time = 453332262, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   346
time = 454546022, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   347
time = 455759782, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   348
time = 456973542, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   349
